LOSS,VAL_LOSS
0.5540756583213806,0.5637602210044861
0.5393761992454529,0.5567534565925598
0.534103274345398,0.5527979135513306
0.5297808051109314,0.5491514205932617
0.5258743166923523,0.5452963709831238
0.5222247838973999,0.5419259667396545
0.5188258290290833,0.5387367010116577
0.5155101418495178,0.5356797575950623
0.5124070048332214,0.5331066250801086
0.5097395181655884,0.5304902791976929
0.5072908401489258,0.5284139513969421
0.5050767064094543,0.5262515544891357
0.503001868724823,0.5245255827903748
0.5011051893234253,0.5229383707046509
0.49936559796333313,0.5214287638664246
0.4979776442050934,0.519802451133728
